,Activity
6520,LAYING
3842,SITTING
5120,SITTING
8652,WALKING
8545,WALKING_UPSTAIRS
6120,SITTING
2197,WALKING_UPSTAIRS
9793,SITTING
5553,SITTING
6684,LAYING
1714,WALKING
4882,STANDING
662,WALKING_DOWNSTAIRS
1211,LAYING
9627,SITTING
818,WALKING_DOWNSTAIRS
5133,SITTING
10064,WALKING_DOWNSTAIRS
8853,WALKING_UPSTAIRS
942,WALKING
1051,LAYING
5766,LAYING
4051,SITTING
2793,LAYING
8629,LAYING
7338,WALKING_UPSTAIRS
696,STANDING
6414,WALKING_UPSTAIRS
1194,SITTING
4196,STANDING
7638,WALKING_UPSTAIRS
3861,LAYING
2799,LAYING
553,SITTING
8304,SITTING
7524,STANDING
9999,LAYING
703,STANDING
7175,STANDING
9393,STANDING
6949,WALKING_UPSTAIRS
8240,WALKING_UPSTAIRS
910,LAYING
5497,STANDING
307,WALKING_UPSTAIRS
1133,WALKING_UPSTAIRS
7721,LAYING
1492,STANDING
5951,LAYING
2097,SITTING
1089,WALKING
4518,WALKING_UPSTAIRS
4415,SITTING
4407,SITTING
8046,WALKING
5997,WALKING
3274,STANDING
9202,STANDING
9647,LAYING
2295,LAYING
7871,SITTING
6338,LAYING
7828,STANDING
8245,WALKING_UPSTAIRS
8781,LAYING
9433,SITTING
995,STANDING
3544,WALKING
249,WALKING
10209,LAYING
4478,WALKING
8596,SITTING
6077,STANDING
7200,SITTING
6773,WALKING_DOWNSTAIRS
796,WALKING
7727,LAYING
985,WALKING_UPSTAIRS
5191,WALKING
1313,WALKING_UPSTAIRS
1775,STANDING
5,STANDING
9383,WALKING_UPSTAIRS
6989,STANDING
5784,WALKING
8421,STANDING
436,WALKING
4210,STANDING
7333,WALKING_UPSTAIRS
5758,LAYING
301,WALKING_DOWNSTAIRS
7538,SITTING
4086,LAYING
3836,SITTING
8363,WALKING
768,WALKING
264,WALKING
3735,WALKING
4531,WALKING_UPSTAIRS
3465,SITTING
1108,WALKING_DOWNSTAIRS
7284,WALKING
3529,WALKING
5008,WALKING
2392,STANDING
9263,SITTING
7063,LAYING
1749,WALKING_UPSTAIRS
5743,LAYING
719,SITTING
9209,STANDING
7781,WALKING_DOWNSTAIRS
2541,WALKING_UPSTAIRS
2908,SITTING
8988,WALKING_DOWNSTAIRS
1956,LAYING
1153,WALKING_UPSTAIRS
1896,WALKING_UPSTAIRS
3974,STANDING
6645,STANDING
4209,STANDING
2756,SITTING
8411,STANDING
239,LAYING
8771,LAYING
10003,LAYING
234,SITTING
1516,SITTING
3575,WALKING_UPSTAIRS
2914,SITTING
6750,WALKING_DOWNSTAIRS
3239,STANDING
6456,STANDING
5226,WALKING_DOWNSTAIRS
5143,LAYING
2808,WALKING
1557,WALKING
9508,WALKING_DOWNSTAIRS
8669,WALKING_DOWNSTAIRS
5551,SITTING
9426,SITTING
3772,WALKING_UPSTAIRS
3161,LAYING
4130,WALKING_DOWNSTAIRS
3287,SITTING
3374,WALKING
7323,WALKING_UPSTAIRS
9698,WALKING_DOWNSTAIRS
9677,WALKING
3027,WALKING_UPSTAIRS
2748,SITTING
1188,SITTING
4782,LAYING
4458,LAYING
2762,LAYING
3497,LAYING
9642,LAYING
3868,LAYING
3023,WALKING_UPSTAIRS
6110,SITTING
4159,WALKING_UPSTAIRS
5091,STANDING
3869,LAYING
10246,WALKING_DOWNSTAIRS
10213,WALKING
3837,SITTING
6234,WALKING_UPSTAIRS
7425,LAYING
7370,STANDING
5754,LAYING
7249,LAYING
5161,LAYING
9458,LAYING
7371,STANDING
5571,LAYING
7359,STANDING
7297,WALKING_DOWNSTAIRS
6466,STANDING
5837,WALKING_UPSTAIRS
6506,SITTING
2611,LAYING
8556,STANDING
10197,LAYING
8108,WALKING_UPSTAIRS
10276,WALKING_UPSTAIRS
781,WALKING
9049,STANDING
5405,WALKING
4696,STANDING
2458,LAYING
5794,WALKING
9562,WALKING_DOWNSTAIRS
9053,STANDING
543,STANDING
200,STANDING
7137,WALKING_UPSTAIRS
6164,LAYING
515,WALKING_UPSTAIRS
2594,SITTING
8806,WALKING
9825,LAYING
4862,WALKING_UPSTAIRS
3436,STANDING
9738,WALKING_UPSTAIRS
2785,LAYING
2794,LAYING
495,WALKING_UPSTAIRS
7873,LAYING
1669,LAYING
6317,SITTING
8936,LAYING
6850,SITTING
1627,STANDING
5576,LAYING
1032,SITTING
8234,WALKING_UPSTAIRS
5308,SITTING
9632,SITTING
2544,STANDING
8080,WALKING_UPSTAIRS
3550,WALKING
2409,STANDING
440,WALKING
4326,WALKING
1129,WALKING_DOWNSTAIRS
6248,STANDING
331,WALKING_DOWNSTAIRS
9743,WALKING_UPSTAIRS
6926,WALKING_DOWNSTAIRS
2906,STANDING
5059,WALKING_UPSTAIRS
2180,WALKING_DOWNSTAIRS
1246,WALKING
1060,LAYING
5493,STANDING
2791,LAYING
7410,LAYING
18,STANDING
6319,SITTING
3573,WALKING_UPSTAIRS
5993,WALKING
8168,LAYING
2854,WALKING_UPSTAIRS
2966,LAYING
612,WALKING
7554,SITTING
2714,STANDING
9062,STANDING
2123,LAYING
9796,SITTING
8372,WALKING_DOWNSTAIRS
4405,SITTING
396,SITTING
7501,WALKING_UPSTAIRS
2843,WALKING_DOWNSTAIRS
4293,LAYING
8461,LAYING
6229,WALKING_UPSTAIRS
8635,WALKING
4823,WALKING
1626,STANDING
2557,STANDING
6929,WALKING_DOWNSTAIRS
6905,WALKING
9513,WALKING_DOWNSTAIRS
3446,STANDING
3282,SITTING
3921,WALKING
3469,SITTING
3034,WALKING_UPSTAIRS
8794,LAYING
4520,WALKING_UPSTAIRS
9176,WALKING_UPSTAIRS
9266,SITTING
3790,WALKING_UPSTAIRS
2996,WALKING
6564,WALKING
1765,STANDING
8204,WALKING
68,LAYING
2388,STANDING
1482,STANDING
337,WALKING_DOWNSTAIRS
848,STANDING
5117,SITTING
1533,LAYING
2538,WALKING_UPSTAIRS
1320,STANDING
2226,STANDING
7208,SITTING
2002,WALKING
4997,WALKING
10224,WALKING
7975,STANDING
5602,WALKING
8683,WALKING_DOWNSTAIRS
3050,STANDING
3375,WALKING
1360,SITTING
2883,STANDING
8643,WALKING
4592,SITTING
5858,WALKING_UPSTAIRS
7842,STANDING
2801,WALKING
10140,STANDING
6275,STANDING
7622,WALKING_DOWNSTAIRS
8367,WALKING_DOWNSTAIRS
5195,WALKING
6136,LAYING
580,LAYING
9275,LAYING
5881,STANDING
7589,WALKING
1061,LAYING
3728,WALKING
7576,LAYING
6927,WALKING_DOWNSTAIRS
6862,SITTING
4573,SITTING
9083,SITTING
9656,LAYING
7735,LAYING
2314,WALKING
5670,WALKING_UPSTAIRS
9081,SITTING
705,STANDING
3148,LAYING
6831,STANDING
3684,LAYING
7641,WALKING_UPSTAIRS
536,STANDING
1711,WALKING
7194,STANDING
9610,SITTING
6149,LAYING
6247,STANDING
6202,WALKING_DOWNSTAIRS
9539,WALKING_UPSTAIRS
7386,SITTING
6217,WALKING_UPSTAIRS
5160,LAYING
1093,WALKING
199,STANDING
9821,LAYING
9248,SITTING
1335,STANDING
5793,WALKING
3542,WALKING
7487,WALKING_UPSTAIRS
3154,LAYING
480,WALKING_DOWNSTAIRS
4549,STANDING
7811,WALKING_UPSTAIRS
9295,LAYING
7455,WALKING
712,STANDING
7138,WALKING_UPSTAIRS
8050,WALKING
597,LAYING
7438,WALKING
3987,STANDING
3543,WALKING
692,STANDING
8221,WALKING_DOWNSTAIRS
8099,WALKING_DOWNSTAIRS
9652,LAYING
455,WALKING
2315,WALKING
9797,SITTING
2507,WALKING_DOWNSTAIRS
7581,WALKING
2149,WALKING
7759,WALKING
5609,WALKING
10172,SITTING
5996,WALKING
8677,WALKING_DOWNSTAIRS
468,WALKING_DOWNSTAIRS
4978,LAYING
2957,LAYING
2052,WALKING_UPSTAIRS
5638,WALKING_DOWNSTAIRS
8844,WALKING_DOWNSTAIRS
3322,LAYING
5422,WALKING_DOWNSTAIRS
7012,SITTING
8519,WALKING_DOWNSTAIRS
4417,SITTING
6200,WALKING_DOWNSTAIRS
4479,WALKING
2497,WALKING_DOWNSTAIRS
2777,LAYING
6070,STANDING
8235,WALKING_UPSTAIRS
10190,LAYING
7367,STANDING
5132,SITTING
3513,LAYING
2337,WALKING_DOWNSTAIRS
3811,STANDING
5239,WALKING_UPSTAIRS
401,SITTING
7448,WALKING
2267,SITTING
8307,LAYING
1518,SITTING
3625,STANDING
3992,STANDING
1807,SITTING
6911,WALKING
10273,WALKING_UPSTAIRS
7617,WALKING_DOWNSTAIRS
2456,LAYING
10234,WALKING
1839,LAYING
9253,SITTING
3702,LAYING
5929,SITTING
6610,WALKING_UPSTAIRS
3977,STANDING
4208,STANDING
8949,LAYING
10256,WALKING_DOWNSTAIRS
9664,LAYING
8041,LAYING
5682,STANDING
2596,SITTING
1138,WALKING_UPSTAIRS
1610,WALKING_UPSTAIRS
6352,LAYING
6228,WALKING_UPSTAIRS
2720,STANDING
7437,WALKING
847,STANDING
2853,WALKING_UPSTAIRS
9425,SITTING
9526,WALKING_UPSTAIRS
837,WALKING_UPSTAIRS
163,WALKING_UPSTAIRS
10112,STANDING
5283,STANDING
5208,WALKING_DOWNSTAIRS
9841,LAYING
7218,SITTING
1938,SITTING
5613,WALKING
10185,LAYING
2698,WALKING_UPSTAIRS
4008,STANDING
9590,STANDING
9318,WALKING
8463,LAYING
6323,SITTING
6108,SITTING
9179,WALKING_UPSTAIRS
2048,WALKING_UPSTAIRS
4204,STANDING
2026,WALKING_DOWNSTAIRS
9701,WALKING_DOWNSTAIRS
7411,LAYING
8789,LAYING
7968,WALKING_UPSTAIRS
9254,SITTING
2321,WALKING
8371,WALKING_DOWNSTAIRS
877,SITTING
2931,SITTING
4654,WALKING
1217,LAYING
594,LAYING
6955,WALKING_UPSTAIRS
2232,STANDING
5657,WALKING_UPSTAIRS
5432,WALKING_DOWNSTAIRS
5846,WALKING_UPSTAIRS
10058,WALKING_DOWNSTAIRS
2141,WALKING
8051,WALKING
3260,STANDING
6685,LAYING
8717,STANDING
7505,WALKING_UPSTAIRS
7152,WALKING_DOWNSTAIRS
5004,WALKING
6954,WALKING_UPSTAIRS
3654,SITTING
4230,SITTING
236,SITTING
6677,SITTING
3063,STANDING
6986,STANDING
9143,WALKING
9662,LAYING
3545,WALKING
1702,WALKING
207,SITTING
9018,WALKING_UPSTAIRS
9807,SITTING
866,STANDING
4542,STANDING
1564,WALKING
1652,SITTING
1480,STANDING
252,WALKING
789,WALKING
9391,STANDING
7321,WALKING_DOWNSTAIRS
8662,WALKING_DOWNSTAIRS
6433,WALKING_UPSTAIRS
8226,WALKING_DOWNSTAIRS
798,WALKING_DOWNSTAIRS
3358,WALKING
7489,WALKING_UPSTAIRS
1777,STANDING
3360,WALKING
5223,WALKING_DOWNSTAIRS
3195,WALKING_DOWNSTAIRS
8171,LAYING
1581,WALKING_DOWNSTAIRS
10075,WALKING_DOWNSTAIRS
3670,SITTING
8770,SITTING
3301,SITTING
5741,SITTING
5425,WALKING_DOWNSTAIRS
1428,WALKING_DOWNSTAIRS
238,LAYING
7696,SITTING
548,STANDING
9270,LAYING
9061,STANDING
4840,WALKING_UPSTAIRS
1697,WALKING
1172,STANDING
3330,LAYING
9583,STANDING
1349,SITTING
4827,WALKING
7198,STANDING
1096,WALKING
9811,LAYING
695,STANDING
3251,STANDING
6713,LAYING
1109,WALKING_DOWNSTAIRS
9422,SITTING
3435,STANDING
1542,LAYING
9036,WALKING_UPSTAIRS
5339,LAYING
8073,WALKING_DOWNSTAIRS
3104,SITTING
6240,WALKING_UPSTAIRS
8237,WALKING_UPSTAIRS
9788,SITTING
10036,WALKING
8889,STANDING
1654,SITTING
4733,SITTING
3633,STANDING
1997,WALKING
6010,WALKING_DOWNSTAIRS
8608,LAYING
10030,WALKING
3995,STANDING
7495,WALKING_UPSTAIRS
7197,STANDING
2546,STANDING
4379,STANDING
10294,WALKING_UPSTAIRS
8414,STANDING
10205,LAYING
118,WALKING
10222,WALKING
9310,WALKING
8855,WALKING_UPSTAIRS
3499,LAYING
1940,SITTING
6203,WALKING_DOWNSTAIRS
7190,STANDING
3768,WALKING_UPSTAIRS
526,STANDING
1401,WALKING
1776,STANDING
9092,SITTING
8729,STANDING
5527,SITTING
8512,WALKING_DOWNSTAIRS
2450,LAYING
2355,WALKING_UPSTAIRS
8441,SITTING
8878,STANDING
304,WALKING_UPSTAIRS
4315,WALKING
88,WALKING
4765,LAYING
4992,WALKING
2327,WALKING
5257,WALKING_UPSTAIRS
8995,WALKING_DOWNSTAIRS
6459,STANDING
7907,WALKING
1954,LAYING
9356,WALKING_DOWNSTAIRS
5290,STANDING
8605,SITTING
4555,STANDING
8953,LAYING
9044,WALKING_UPSTAIRS
3572,WALKING_DOWNSTAIRS
4251,SITTING
2757,SITTING
6137,LAYING
5718,SITTING
3498,LAYING
3802,STANDING
5095,STANDING
8322,LAYING
2673,WALKING_DOWNSTAIRS
5779,LAYING
7150,WALKING_DOWNSTAIRS
2058,STANDING
2569,STANDING
3243,STANDING
6135,LAYING
4252,SITTING
4504,WALKING_DOWNSTAIRS
5471,WALKING_UPSTAIRS
897,LAYING
1176,STANDING
3157,LAYING
5986,WALKING
1731,WALKING_DOWNSTAIRS
7263,WALKING
9488,WALKING
6623,WALKING_UPSTAIRS
3903,WALKING
6573,WALKING
6591,WALKING_DOWNSTAIRS
4278,LAYING
10227,WALKING
3481,SITTING
1197,SITTING
1304,WALKING_UPSTAIRS
5139,LAYING
10270,WALKING_UPSTAIRS
4704,STANDING
3477,SITTING
7709,LAYING
7731,LAYING
997,STANDING
5913,SITTING
448,WALKING
6568,WALKING
1703,WALKING
2605,LAYING
7357,STANDING
6724,WALKING
9802,SITTING
1764,STANDING
6257,STANDING
4266,LAYING
4494,WALKING
9530,WALKING_UPSTAIRS
840,WALKING_UPSTAIRS
1139,WALKING_UPSTAIRS
8927,LAYING
1948,SITTING
8417,STANDING
2700,WALKING_UPSTAIRS
8724,STANDING
7020,SITTING
2792,LAYING
8145,SITTING
4789,LAYING
1893,WALKING_UPSTAIRS
9519,WALKING_DOWNSTAIRS
5711,SITTING
8558,STANDING
7648,WALKING_UPSTAIRS
5719,SITTING
9216,STANDING
2024,WALKING_DOWNSTAIRS
8544,WALKING_UPSTAIRS
8726,STANDING
1737,WALKING_UPSTAIRS
4572,SITTING
4338,WALKING_DOWNSTAIRS
6509,SITTING
8831,WALKING_DOWNSTAIRS
4143,WALKING_UPSTAIRS
8921,SITTING
4994,WALKING
4590,SITTING
7915,WALKING
3821,STANDING
1227,LAYING
3931,WALKING_DOWNSTAIRS
431,LAYING
2665,WALKING_DOWNSTAIRS
953,WALKING_DOWNSTAIRS
4620,LAYING
8505,WALKING
4050,SITTING
9473,LAYING
9837,LAYING
5675,STANDING
1670,LAYING
8774,LAYING
7901,WALKING
2116,LAYING
908,LAYING
6497,SITTING
5123,SITTING
8288,SITTING
5373,LAYING
3854,SITTING
9888,WALKING_DOWNSTAIRS
7941,WALKING_DOWNSTAIRS
3948,WALKING_UPSTAIRS
9259,SITTING
9942,STANDING
731,SITTING
10015,LAYING
5157,LAYING
4414,SITTING
3906,WALKING
8244,WALKING_UPSTAIRS
5788,WALKING
9532,WALKING_UPSTAIRS
4815,WALKING
1631,STANDING
1269,WALKING_DOWNSTAIRS
7526,STANDING
6498,SITTING
7166,WALKING_UPSTAIRS
8716,STANDING
9376,WALKING_DOWNSTAIRS
7224,SITTING
8429,SITTING
1374,LAYING
3064,STANDING
3950,WALKING_UPSTAIRS
6904,WALKING
3387,WALKING_DOWNSTAIRS
2349,WALKING_DOWNSTAIRS
6129,LAYING
1127,WALKING_DOWNSTAIRS
5500,STANDING
9597,STANDING
8014,SITTING
3646,SITTING
7046,LAYING
7599,WALKING
6479,STANDING
2711,STANDING
1470,WALKING_UPSTAIRS
8940,LAYING
2028,WALKING_DOWNSTAIRS
1142,WALKING_UPSTAIRS
760,LAYING
2710,STANDING
5634,WALKING_DOWNSTAIRS
7068,WALKING
7281,WALKING
3000,WALKING_DOWNSTAIRS
9055,STANDING
367,STANDING
8442,SITTING
3420,WALKING_UPSTAIRS
9285,LAYING
7484,WALKING_DOWNSTAIRS
482,WALKING_DOWNSTAIRS
2940,LAYING
5490,STANDING
3478,SITTING
3370,WALKING
9706,WALKING_DOWNSTAIRS
4716,STANDING
8824,WALKING
9423,SITTING
10238,WALKING
5893,STANDING
4151,WALKING_UPSTAIRS
9735,WALKING_UPSTAIRS
5224,WALKING_DOWNSTAIRS
8760,SITTING
5499,STANDING
10010,LAYING
3539,WALKING
8126,STANDING
9984,SITTING
1942,SITTING
8060,WALKING
8358,WALKING
5363,LAYING
8725,STANDING
1512,SITTING
1680,LAYING
5608,WALKING
10295,WALKING_UPSTAIRS
6549,LAYING
10048,WALKING
6472,STANDING
9728,WALKING_UPSTAIRS
2690,WALKING_UPSTAIRS
2694,WALKING_UPSTAIRS
9321,WALKING
2215,WALKING_UPSTAIRS
1449,WALKING_DOWNSTAIRS
5592,WALKING
3726,WALKING
7320,WALKING_DOWNSTAIRS
1421,WALKING
2491,WALKING
3390,WALKING_UPSTAIRS
9614,SITTING
3805,STANDING
8418,STANDING
6422,WALKING_DOWNSTAIRS
8818,WALKING
9293,LAYING
8800,LAYING
5596,WALKING
5783,LAYING
6418,WALKING_DOWNSTAIRS
8094,WALKING_UPSTAIRS
5276,STANDING
5012,WALKING
8231,WALKING_UPSTAIRS
2235,STANDING
22,STANDING
8208,WALKING
8575,STANDING
1718,WALKING_DOWNSTAIRS
3158,LAYING
9499,WALKING
3183,WALKING
8813,WALKING
5334,SITTING
8377,WALKING_DOWNSTAIRS
2019,WALKING_DOWNSTAIRS
4633,WALKING
9703,WALKING_DOWNSTAIRS
6903,WALKING
3020,WALKING_DOWNSTAIRS
4393,STANDING
3793,STANDING
571,SITTING
961,WALKING_DOWNSTAIRS
10232,WALKING
1288,WALKING_DOWNSTAIRS
5704,STANDING
655,WALKING_DOWNSTAIRS
8763,SITTING
9976,SITTING
3284,SITTING
6034,WALKING_UPSTAIRS
153,WALKING_UPSTAIRS
2471,WALKING
1471,WALKING_UPSTAIRS
4670,WALKING_DOWNSTAIRS
7506,WALKING_UPSTAIRS
10290,WALKING_UPSTAIRS
9911,WALKING_UPSTAIRS
7087,WALKING
8660,WALKING
3941,WALKING_UPSTAIRS
3590,WALKING_UPSTAIRS
2370,WALKING_UPSTAIRS
2820,WALKING
2084,SITTING
8027,LAYING
4941,SITTING
1662,SITTING
243,LAYING
642,WALKING_DOWNSTAIRS
2247,STANDING
9021,WALKING_UPSTAIRS
5920,SITTING
2887,STANDING
8128,STANDING
1517,SITTING
3833,SITTING
9773,STANDING
5979,WALKING
7869,SITTING
8950,LAYING
9502,WALKING
9213,STANDING
7887,LAYING
5158,LAYING
2696,WALKING_UPSTAIRS
1721,WALKING_DOWNSTAIRS
2400,STANDING
221,LAYING
639,WALKING_DOWNSTAIRS
1006,STANDING
8772,LAYING
2070,STANDING
6694,LAYING
4829,WALKING_DOWNSTAIRS
5463,WALKING_UPSTAIRS
7029,LAYING
7376,STANDING
7786,WALKING_DOWNSTAIRS
7536,SITTING
24,STANDING
1016,STANDING
3062,STANDING
742,LAYING
2110,SITTING
7618,WALKING_DOWNSTAIRS
10142,SITTING
2153,WALKING
6606,WALKING_UPSTAIRS
9450,LAYING
4879,WALKING_UPSTAIRS
1803,SITTING
8825,WALKING
2825,WALKING
3722,LAYING
3039,WALKING_UPSTAIRS
2822,WALKING
6441,WALKING_UPSTAIRS
959,WALKING_DOWNSTAIRS
8150,SITTING
5721,SITTING
2849,WALKING_UPSTAIRS
964,WALKING_DOWNSTAIRS
4576,SITTING
7707,LAYING
9474,LAYING
7866,SITTING
116,WALKING
6660,SITTING
9304,WALKING
10284,WALKING_DOWNSTAIRS
7444,WALKING
491,WALKING_UPSTAIRS
9057,STANDING
3303,SITTING
4337,WALKING_DOWNSTAIRS
10202,LAYING
26,STANDING
1638,STANDING
5274,STANDING
1709,WALKING
2333,WALKING_DOWNSTAIRS
3196,WALKING_DOWNSTAIRS
6651,STANDING
3049,WALKING_UPSTAIRS
8626,LAYING
8896,STANDING
8351,WALKING
8498,WALKING
5034,WALKING_DOWNSTAIRS
1599,WALKING_UPSTAIRS
5573,LAYING
7808,WALKING_UPSTAIRS
1307,WALKING_UPSTAIRS
8323,LAYING
9365,WALKING_UPSTAIRS
5626,WALKING_DOWNSTAIRS
8052,WALKING
8572,STANDING
3459,STANDING
6346,LAYING
3514,LAYING
6796,WALKING_UPSTAIRS
10231,WALKING
4109,WALKING
1586,WALKING_DOWNSTAIRS
7513,STANDING
1917,STANDING
149,WALKING_DOWNSTAIRS
8462,LAYING
1715,WALKING
1730,WALKING_DOWNSTAIRS
8233,WALKING_UPSTAIRS
4145,WALKING_UPSTAIRS
309,WALKING_UPSTAIRS
8075,WALKING_UPSTAIRS
3302,SITTING
6349,LAYING
4559,STANDING
1949,SITTING
4120,WALKING
1327,STANDING
8236,WALKING_UPSTAIRS
5738,SITTING
5636,WALKING_DOWNSTAIRS
8709,WALKING_UPSTAIRS
6403,WALKING_DOWNSTAIRS
9371,WALKING_DOWNSTAIRS
643,WALKING_DOWNSTAIRS
981,WALKING_UPSTAIRS
5075,STANDING
7739,WALKING
2613,LAYING
1038,SITTING
5519,SITTING
1969,LAYING
1935,SITTING
2708,STANDING
1400,WALKING
6360,LAYING
6633,STANDING
9208,STANDING
7527,STANDING
3199,WALKING_DOWNSTAIRS
10111,STANDING
5800,WALKING
248,WALKING
2401,STANDING
167,WALKING_UPSTAIRS
2227,STANDING
3149,LAYING
9770,STANDING
5107,SITTING
3595,WALKING_UPSTAIRS
9641,LAYING
5101,STANDING
9830,LAYING
2587,SITTING
9883,WALKING_DOWNSTAIRS
10254,WALKING_DOWNSTAIRS
2999,WALKING_DOWNSTAIRS
2620,LAYING
1857,WALKING
7454,WALKING
10079,WALKING_UPSTAIRS
6096,SITTING
5604,WALKING
4092,LAYING
9399,STANDING
2416,SITTING
1044,SITTING
919,LAYING
8581,SITTING
9900,WALKING_UPSTAIRS
6821,STANDING
2142,WALKING
4666,WALKING_DOWNSTAIRS
6557,WALKING
9360,WALKING_UPSTAIRS
1040,SITTING
204,SITTING
2681,WALKING_UPSTAIRS
2840,WALKING_DOWNSTAIRS
9003,WALKING_DOWNSTAIRS
6375,WALKING
4428,SITTING
5590,LAYING
9510,WALKING_DOWNSTAIRS
9335,WALKING_DOWNSTAIRS
8333,LAYING
5454,WALKING_UPSTAIRS
3325,LAYING
10228,WALKING
3932,WALKING_DOWNSTAIRS
1656,SITTING
6663,SITTING
8228,WALKING_DOWNSTAIRS
5400,WALKING
682,WALKING_UPSTAIRS
1750,WALKING_UPSTAIRS
3414,WALKING_DOWNSTAIRS
5628,WALKING_DOWNSTAIRS
9078,SITTING
7640,WALKING_UPSTAIRS
631,WALKING
7997,SITTING
3038,WALKING_UPSTAIRS
629,WALKING
8925,LAYING
6521,LAYING
7927,WALKING_DOWNSTAIRS
9907,WALKING_UPSTAIRS
7863,SITTING
7230,LAYING
5532,SITTING
9107,LAYING
1793,SITTING
6024,WALKING_DOWNSTAIRS
3419,WALKING_UPSTAIRS
2555,STANDING
9933,STANDING
8389,WALKING_UPSTAIRS
2523,WALKING_UPSTAIRS
7833,STANDING
6224,WALKING_UPSTAIRS
3783,WALKING_DOWNSTAIRS
7360,STANDING
8182,LAYING
3843,SITTING
4452,LAYING
3488,SITTING
8355,WALKING
6654,STANDING
295,WALKING
8976,WALKING
2061,STANDING
7520,STANDING
740,LAYING
1435,WALKING_DOWNSTAIRS
6760,WALKING_DOWNSTAIRS
7691,SITTING
374,STANDING
3085,STANDING
5728,SITTING
9352,WALKING_DOWNSTAIRS
334,WALKING_DOWNSTAIRS
4363,WALKING_DOWNSTAIRS
8624,LAYING
6305,SITTING
3831,SITTING
3290,SITTING
9002,WALKING_DOWNSTAIRS
6819,STANDING
4336,WALKING_DOWNSTAIRS
1245,WALKING
8752,SITTING
6864,SITTING
3672,SITTING
1740,WALKING_UPSTAIRS
90,WALKING
6204,WALKING_DOWNSTAIRS
2356,WALKING_UPSTAIRS
6669,SITTING
6570,WALKING
5262,WALKING_UPSTAIRS
7867,SITTING
8858,WALKING_UPSTAIRS
9548,WALKING_UPSTAIRS
5064,WALKING_UPSTAIRS
2005,WALKING
7107,WALKING_DOWNSTAIRS
6834,SITTING
1529,LAYING
7345,WALKING_UPSTAIRS
4498,WALKING_DOWNSTAIRS
9962,SITTING
7835,STANDING
9663,LAYING
8385,WALKING_UPSTAIRS
9339,WALKING_DOWNSTAIRS
3334,LAYING
4848,WALKING_DOWNSTAIRS
8670,WALKING_DOWNSTAIRS
7253,LAYING
1744,WALKING_UPSTAIRS
2724,STANDING
7167,WALKING_UPSTAIRS
2424,SITTING
6866,LAYING
569,SITTING
7348,WALKING_UPSTAIRS
2190,WALKING_DOWNSTAIRS
285,WALKING
4121,WALKING
4768,LAYING
66,LAYING
9181,WALKING_UPSTAIRS
579,LAYING
6567,WALKING
5623,WALKING_DOWNSTAIRS
10255,WALKING_DOWNSTAIRS
3565,WALKING_DOWNSTAIRS
7187,STANDING
2566,STANDING
345,WALKING_DOWNSTAIRS
9427,SITTING
3954,WALKING_DOWNSTAIRS
215,LAYING
577,SITTING
2597,LAYING
716,SITTING
7079,WALKING
9895,WALKING_UPSTAIRS
3089,STANDING
4460,LAYING
6394,WALKING
1277,WALKING_DOWNSTAIRS
2277,LAYING
7740,WALKING
3527,LAYING
9378,WALKING_UPSTAIRS
4205,STANDING
3822,STANDING
1612,WALKING_UPSTAIRS
10146,SITTING
600,LAYING
9820,LAYING
7076,WALKING
9965,SITTING
9558,WALKING_DOWNSTAIRS
5523,SITTING
4603,LAYING
184,STANDING
2209,WALKING_UPSTAIRS
8922,SITTING
7672,STANDING
8685,WALKING_DOWNSTAIRS
9939,STANDING
7961,WALKING_UPSTAIRS
1049,LAYING
8675,WALKING_DOWNSTAIRS
6981,STANDING
9345,WALKING_UPSTAIRS
2224,STANDING
3242,STANDING
4843,WALKING_UPSTAIRS
1396,WALKING
4015,SITTING
410,LAYING
8738,STANDING
2630,LAYING
4181,STANDING
802,WALKING_DOWNSTAIRS
7621,WALKING_DOWNSTAIRS
4467,LAYING
6291,SITTING
2206,WALKING_UPSTAIRS
8847,WALKING_DOWNSTAIRS
5060,WALKING_UPSTAIRS
2122,LAYING
6672,SITTING
43,SITTING
6009,WALKING_DOWNSTAIRS
7377,STANDING
3991,STANDING
6468,STANDING
1078,WALKING
9249,SITTING
8658,WALKING
7899,WALKING
1203,SITTING
2287,LAYING
4627,LAYING
3994,STANDING
4583,SITTING
6355,LAYING
1169,STANDING
6251,STANDING
8456,SITTING
9361,WALKING_UPSTAIRS
1751,WALKING_UPSTAIRS
5648,WALKING_UPSTAIRS
7478,WALKING_DOWNSTAIRS
5146,LAYING
4850,WALKING_DOWNSTAIRS
9512,WALKING_DOWNSTAIRS
1221,LAYING
8286,SITTING
6334,LAYING
7903,WALKING
1800,SITTING
2963,LAYING
2875,STANDING
8146,SITTING
1381,LAYING
1447,WALKING_DOWNSTAIRS
5582,LAYING
8242,WALKING_UPSTAIRS
6507,SITTING
5207,WALKING_DOWNSTAIRS
2580,SITTING
2675,WALKING_DOWNSTAIRS
452,WALKING
2797,LAYING
10282,WALKING_DOWNSTAIRS
759,LAYING
3957,WALKING_DOWNSTAIRS
5165,LAYING
748,LAYING
6865,LAYING
1353,SITTING
3739,WALKING
6508,SITTING
9754,STANDING
9023,WALKING_UPSTAIRS
1115,WALKING_DOWNSTAIRS
9313,WALKING
3618,STANDING
1520,SITTING
140,WALKING_DOWNSTAIRS
